,KERNEL_INITIALIZER,DROPOUT_RATE,OPTIMIZER,Accuracy
0,random_normal,0.0,Adam,0.9414166808128356
1,glorot_normal,0.0,Adam,0.9400833249092102
2,glorot_normal,0.0,RMSprop,0.9392499923706056
3,random_uniform,0.0,Adam,0.9379166960716248
4,random_normal,0.0,RMSprop,0.9352499842643738
5,random_uniform,0.2,RMSprop,0.934416651725769
6,random_uniform,0.0,RMSprop,0.9329166412353516
7,glorot_normal,0.0,SGD,0.9318333268165588
8,glorot_normal,0.2,RMSprop,0.9309999942779541
9,random_uniform,0.2,Adam,0.93066668510437
10,glorot_normal,0.2,Adam,0.9304999709129332
11,random_normal,0.2,RMSprop,0.9299166798591614
12,random_normal,0.2,Adam,0.9298333525657654
13,glorot_normal,0.2,SGD,0.9228333234786988
14,random_normal,0.0,SGD,0.9214166402816772
15,random_uniform,0.0,SGD,0.9170833230018616
16,random_normal,0.2,SGD,0.9077500104904176
17,random_uniform,0.2,SGD,0.9043333530426024
18,glorot_normal,0.0,Adagrad,0.8690000176429749
19,glorot_normal,0.2,Adagrad,0.8616666793823242
20,random_uniform,0.0,Adagrad,0.8525833487510681
21,random_normal,0.0,Adagrad,0.8370000123977661
22,random_uniform,0.2,Adagrad,0.8350833058357239
23,random_normal,0.2,Adagrad,0.8188333511352539
24,zeros,0.2,RMSprop,0.2140000015497208
25,zeros,0.0,Adam,0.2135833352804184
26,zeros,0.0,RMSprop,0.21175000071525574
27,zeros,0.0,Adagrad,0.21141666173934934
28,zeros,0.2,SGD,0.20983333885669708
29,zeros,0.0,SGD,0.20475000143051147
30,zeros,0.2,Adagrad,0.203166663646698
31,zeros,0.2,Adam,0.11341666430234908
32,zeros,0.5,SGD,0.09483333677053453
33,zeros,0.5,Adam,0.09483333677053453
34,zeros,0.5,RMSprop,0.09483333677053453
35,random_normal,0.5,SGD,0.09483333677053453
36,random_normal,0.5,Adagrad,0.09483333677053453
37,random_normal,0.5,RMSprop,0.09483333677053453
38,random_normal,0.5,Adam,0.09483333677053453
39,random_uniform,0.5,Adagrad,0.09483333677053453
40,random_uniform,0.5,SGD,0.09483333677053453
41,random_uniform,0.5,Adam,0.09483333677053453
42,glorot_normal,0.5,Adagrad,0.09483333677053453
43,glorot_normal,0.5,RMSprop,0.09483333677053453
44,glorot_normal,0.5,Adam,0.09483333677053453
45,glorot_normal,0.5,SGD,0.09483333677053453
46,random_uniform,0.5,RMSprop,0.09483333677053453
47,zeros,0.5,Adagrad,0.09483333677053453
